Id,experiencia_profissional_prejudicada,Não acredito que minha experiência profissional seja afetada,Experiencia prejudicada devido a minha Cor Raça Etnia,Experiencia prejudicada devido a minha identidade de gênero,Experiencia prejudicada devido ao fato de ser PCD,aspectos_prejudicados,Quantidade de oportunidades de emprego/vagas recebidas,Senioridade das vagas recebidas em relação à sua experiência,Aprovação em processos seletivos/entrevistas,Oportunidades de progressão de carreira,Velocidade de progressão de carreira,Nível de cobrança no trabalho/Stress no trabalho,Atenção dada diante das minhas opiniões e ideias
0b9sb2w74o4h0f42j0b9sbk83r3d01j0,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Atenção dada pelas pessoas diante das minhas opiniões e ideias,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0baz3khrxi0sei0bazgztvrrugudi1wd,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Quantidade de oportunidades de emprego/vagas recebidas, Oportunidades de progressão de carreira, Velocidade de progressão de carreira",1.0,0.0,0.0,1.0,1.0,0.0,0.0
0bb3tmiavc8odqz33eojlr0bb3to0mtu,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Atenção dada pelas pessoas diante das minhas opiniões e ideias,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0bj58kvonhsptf90bj5ldaxfkdm013kt,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Atenção dada pelas pessoas diante das minhas opiniões e ideias,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0bulrqnzwpth2g6rcf0bulrqr6hfwmhx,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,"Velocidade de progressão de carreira, Nível de cobrança no trabalho / Stress no trabalho",0.0,0.0,0.0,0.0,1.0,1.0,0.0
0c61ipysz17kckyll0c61ivgliw391vr,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,"Quantidade de oportunidades de emprego/vagas recebidas, Senioridade das vagas recebidas em relação à sua experiência, Velocidade de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho",1.0,1.0,0.0,0.0,1.0,0.0,1.0
0czmmsqic3e0czzgfpcxcmlvopm6lzgf,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Senioridade das vagas recebidas em relação à sua experiência, Oportunidades de progressão de carreira, Velocidade de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de trabalho",0.0,1.0,0.0,1.0,1.0,0.0,1.0
0ddxnylpynv0fgc72nuiy0ddx2np8hvc,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Senioridade das vagas recebidas em relação à sua experiência, Atenção dada pelas pessoas diante das minhas opiniões e ideias",0.0,1.0,0.0,0.0,0.0,0.0,1.0
0dkjjbum7c9eeyyr0dkjusywtxxirtxf,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,"Relação com outros membros da empresa, em momentos de trabalho",0.0,0.0,0.0,0.0,0.0,0.0,0.0
0e5jp063qgcme6ly0e5j1oqs6sdw53oi,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,"Quantidade de oportunidades de emprego/vagas recebidas, Aprovação em processos seletivos/entrevistas",1.0,0.0,1.0,0.0,0.0,0.0,0.0
0es5j6zi3eta53c3alanv0es5j6zm7bp,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,"Senioridade das vagas recebidas em relação à sua experiência, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho",0.0,1.0,0.0,0.0,0.0,0.0,0.0
0fy84aoyul0t71eaqln0fyfp4p5e8glp,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Quantidade de oportunidades de emprego/vagas recebidas, Aprovação em processos seletivos/entrevistas, Oportunidades de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho",1.0,0.0,1.0,1.0,0.0,0.0,1.0
0ghkr6f66sdb6irt0c0ghk9s6mjqabxz,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,"Velocidade de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Quantidade de oportunidades de emprego/vagas recebidas",1.0,0.0,0.0,0.0,1.0,0.0,1.0
0i6712vqjj653m0i670gfwnl6ta7qnic,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Quantidade de oportunidades de emprego/vagas recebidas, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de trabalho, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho",1.0,0.0,0.0,0.0,0.0,0.0,1.0
0jainribfz6iwp042gdx0jaino4uc71r,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Atenção dada pelas pessoas diante das minhas opiniões e ideias, Senioridade das vagas recebidas em relação à sua experiência",0.0,1.0,0.0,0.0,0.0,0.0,1.0
0jc0mij71evva7kn778bz30jc0mijucs,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,"Aprovação em processos seletivos/entrevistas, Oportunidades de progressão de carreira",0.0,0.0,1.0,1.0,0.0,0.0,0.0
0lw4azzxw5hfcsb86ack0lw4azz8myxk,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Oportunidades de progressão de carreira, Relação com outros membros da empresa, em momentos de trabalho, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Velocidade de progressão de carreira",0.0,0.0,0.0,1.0,1.0,0.0,1.0
0mp2dsmps10vyxahto0mp2ddj4kdfc2s,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,"Oportunidades de progressão de carreira, Velocidade de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias",0.0,0.0,0.0,1.0,1.0,0.0,1.0
0onjh42eak1akktm7coy0onjho00ittt,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Aprovação em processos seletivos/entrevistas, Oportunidades de progressão de carreira, Velocidade de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias",0.0,0.0,1.0,1.0,1.0,0.0,1.0
0ovocc0chi8jo3q0ovocvj6qmljwtloh,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Aprovação em processos seletivos/entrevistas, Quantidade de oportunidades de emprego/vagas recebidas, Velocidade de progressão de carreira",1.0,0.0,1.0,0.0,1.0,0.0,0.0
0q472yy1a4ua38hg0q42byo044ngq1sb,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Senioridade das vagas recebidas em relação à sua experiência, Aprovação em processos seletivos/entrevistas, Relação com outros membros da empresa, em momentos de trabalho, Oportunidades de progressão de carreira",0.0,1.0,1.0,1.0,0.0,0.0,0.0
0qhsqn12j7yapjr3ny0qhsqnfkqqygsm,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Velocidade de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Oportunidades de progressão de carreira, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho",0.0,0.0,0.0,1.0,1.0,0.0,1.0
0rvvo787yq3mthe5ga0rvvh4rbm4u4gc,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Quantidade de oportunidades de emprego/vagas recebidas, Aprovação em processos seletivos/entrevistas, Velocidade de progressão de carreira, Nível de cobrança no trabalho / Stress no trabalho, Atenção dada pelas pessoas diante das minhas opiniões e ideias",1.0,0.0,1.0,0.0,1.0,1.0,1.0
0rzo8uhs2710bhyk0rzo8up4313jz70o,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Quantidade de oportunidades de emprego/vagas recebidas, Senioridade das vagas recebidas em relação à sua experiência, Aprovação em processos seletivos/entrevistas, Oportunidades de progressão de carreira, Velocidade de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de trabalho, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho",1.0,1.0,1.0,1.0,1.0,0.0,1.0
0saxujz921fw22ii6pq0saxff4o4ykqm,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Senioridade das vagas recebidas em relação à sua experiência, Aprovação em processos seletivos/entrevistas, Quantidade de oportunidades de emprego/vagas recebidas, Velocidade de progressão de carreira, Oportunidades de progressão de carreira",1.0,1.0,1.0,1.0,1.0,0.0,0.0
0sw1v2544zjyapntd00sw6qtn1mommv9,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,"Quantidade de oportunidades de emprego/vagas recebidas, Senioridade das vagas recebidas em relação à sua experiência, Aprovação em processos seletivos/entrevistas, Oportunidades de progressão de carreira",1.0,1.0,1.0,1.0,0.0,0.0,0.0
0tdknv0eelzci9e0jl1z5j0tdknft4xm,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia, Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,1.0,1.0,0.0,"Aprovação em processos seletivos/entrevistas, Oportunidades de progressão de carreira, Velocidade de progressão de carreira, Nível de cobrança no trabalho / Stress no trabalho, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de trabalho, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho",0.0,0.0,1.0,1.0,1.0,1.0,1.0
0u70ebhsoogwg3qdnb20u7kldlweuu0x,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,"Quantidade de oportunidades de emprego/vagas recebidas, Oportunidades de progressão de carreira, Velocidade de progressão de carreira",1.0,0.0,0.0,1.0,1.0,0.0,0.0
0uu3nbepriafwglatf0uu3nacwlxd4cq,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,"Quantidade de oportunidades de emprego/vagas recebidas, Oportunidades de progressão de carreira, Nível de cobrança no trabalho / Stress no trabalho, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho",1.0,0.0,0.0,1.0,0.0,1.0,0.0
0vfvke194lwuj970vfv96lxbl2447ai4,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,Velocidade de progressão de carreira,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0w1a415gtbb7rn1f94fg0w1a41lfh6zg,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,"Quantidade de oportunidades de emprego/vagas recebidas, Aprovação em processos seletivos/entrevistas, Atenção dada pelas pessoas diante das minhas opiniões e ideias",1.0,0.0,1.0,0.0,0.0,0.0,1.0
0wnabz1pd1i2skai960w2due9g3hw4t7,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia, Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,1.0,1.0,0.0,"Oportunidades de progressão de carreira, Velocidade de progressão de carreira",0.0,0.0,0.0,1.0,1.0,0.0,0.0
10aklxjm370kfjsh19k10aklxmhmdj18,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Quantidade de oportunidades de emprego/vagas recebidas, Oportunidades de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho",1.0,0.0,0.0,1.0,0.0,0.0,1.0
10xdbt4r9gktvzbqrmwd10xdbt4wled2,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,"Oportunidades de progressão de carreira, Aprovação em processos seletivos/entrevistas, Velocidade de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de trabalho",0.0,0.0,1.0,1.0,1.0,0.0,1.0
1198xepjqbuirv11fxa1r1z580rjapef,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de trabalho, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho",0.0,0.0,0.0,0.0,0.0,0.0,1.0
11udubqs3zeo7tn4w1j11udubnwdqfzb,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,"Quantidade de oportunidades de emprego/vagas recebidas, Velocidade de progressão de carreira",1.0,0.0,0.0,0.0,1.0,0.0,0.0
139a9b9k3i4qexcsz139a9b9gqnrhjjm,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia, Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero, Sim, acredito que minha experiência profissional seja afetada devido ao fato de ser PCD",0.0,1.0,1.0,1.0,"Quantidade de oportunidades de emprego/vagas recebidas, Aprovação em processos seletivos/entrevistas",1.0,0.0,1.0,0.0,0.0,0.0,0.0
13b86zuxsf6u17ssqxhp13b86z05aoz8,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,"Nível de cobrança no trabalho / Stress no trabalho, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Oportunidades de progressão de carreira",0.0,0.0,0.0,1.0,0.0,1.0,1.0
13zpaoxakvy6cslxkzk13zpc3o00g0w9,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Senioridade das vagas recebidas em relação à sua experiência, Nível de cobrança no trabalho / Stress no trabalho, Atenção dada pelas pessoas diante das minhas opiniões e ideias",0.0,1.0,0.0,0.0,0.0,1.0,1.0
13zxa6szv61zft5wcf13zxa6szx094cx,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Quantidade de oportunidades de emprego/vagas recebidas, Senioridade das vagas recebidas em relação à sua experiência, Aprovação em processos seletivos/entrevistas",1.0,1.0,1.0,0.0,0.0,0.0,0.0
14taj3sil040z409ab14taj18aqwflw2,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Velocidade de progressão de carreira, Oportunidades de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de trabalho",0.0,0.0,0.0,1.0,1.0,0.0,1.0
16ds4kue2s2iwqamfxqv16ds4ue32z6b,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Quantidade de oportunidades de emprego/vagas recebidas,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16l76zisslhjs0716l76zpv3tyj52d37,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,"Velocidade de progressão de carreira, Oportunidades de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias",0.0,0.0,0.0,1.0,1.0,0.0,1.0
16mgsdgqtqu1o0pn16mgsq6e4jm92ez6,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Velocidade de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Nível de cobrança no trabalho / Stress no trabalho",0.0,0.0,0.0,0.0,1.0,1.0,1.0
18xp1g9xmd9umdi2z18x4rut1864ze7r,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Atenção dada pelas pessoas diante das minhas opiniões e ideias,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19ney6nnqmjyf6d19nf9jmw3vq2hc8nf,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Senioridade das vagas recebidas em relação à sua experiência, Aprovação em processos seletivos/entrevistas, Oportunidades de progressão de carreira, Velocidade de progressão de carreira, Quantidade de oportunidades de emprego/vagas recebidas, Relação com outros membros da empresa, em momentos de trabalho, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho, Atenção dada pelas pessoas diante das minhas opiniões e ideias",1.0,1.0,1.0,1.0,1.0,0.0,1.0
1afqe921s4n6eh561afqetzmpd7et4jw,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,Atenção dada pelas pessoas diante das minhas opiniões e ideias,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1atilfmpb11xrzj8s341atiwrkhv7ftp,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Senioridade das vagas recebidas em relação à sua experiência, Oportunidades de progressão de carreira, Velocidade de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Nível de cobrança no trabalho / Stress no trabalho",0.0,1.0,0.0,1.0,1.0,1.0,1.0
1b10wnsk3b20va1m851b10wadgie37ov,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Quantidade de oportunidades de emprego/vagas recebidas, Aprovação em processos seletivos/entrevistas",1.0,0.0,1.0,0.0,0.0,0.0,0.0
1b53o5zcvhb61i1b53o5jipgdvps94bu,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,"Senioridade das vagas recebidas em relação à sua experiência, Oportunidades de progressão de carreira, Nível de cobrança no trabalho / Stress no trabalho, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de trabalho, Velocidade de progressão de carreira",0.0,1.0,0.0,1.0,1.0,1.0,1.0
1c0x0ogcdheqqto2a1c0xyvyswdbifti,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Oportunidades de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias",0.0,0.0,0.0,1.0,0.0,0.0,1.0
1c78wjlqt11tx0di751c78wxk3k353co,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Velocidade de progressão de carreira,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1cjkgi9jv6i12fgn1f71cjkgi9uff76z,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,"Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de trabalho, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho, Aprovação em processos seletivos/entrevistas",0.0,0.0,1.0,0.0,0.0,0.0,1.0
1eo61abl73ghvnkmj00y1eo61hon5rta,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Oportunidades de progressão de carreira, Velocidade de progressão de carreira",0.0,0.0,0.0,1.0,1.0,0.0,0.0
1fz1hczj0y3p6akj1fz1e4ouef72j0ip,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Velocidade de progressão de carreira,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1gbxnr87nrmzir1gb1naobr2o4v0yeuc,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Velocidade de progressão de carreira, Relação com outros membros da empresa, em momentos de trabalho, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho",0.0,0.0,0.0,0.0,1.0,0.0,0.0
1hk8n3npn6u33nvk971hk8n3c565bmwf,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,"Quantidade de oportunidades de emprego/vagas recebidas, Senioridade das vagas recebidas em relação à sua experiência, Aprovação em processos seletivos/entrevistas",1.0,1.0,1.0,0.0,0.0,0.0,0.0
1jxrb8ef5dgwk671jxrb8ef4i0szuq6x,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Senioridade das vagas recebidas em relação à sua experiência, Velocidade de progressão de carreira",0.0,1.0,0.0,0.0,1.0,0.0,0.0
1jy36lr1prftdq0l8ifh1jy36j18th0b,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,"Velocidade de progressão de carreira, Nível de cobrança no trabalho / Stress no trabalho, Oportunidades de progressão de carreira",0.0,0.0,0.0,1.0,1.0,1.0,0.0
1khu5zghbxlzs41enjf1khu5zlt6q3z4,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho",0.0,0.0,0.0,0.0,0.0,0.0,0.0
1mu7g1p2w1gbvjk1muha0e6nruburfor,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia, Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,1.0,1.0,0.0,"Senioridade das vagas recebidas em relação à sua experiência, Quantidade de oportunidades de emprego/vagas recebidas, Aprovação em processos seletivos/entrevistas, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho",1.0,1.0,1.0,0.0,0.0,0.0,1.0
